train_loss,valid_loss
1.112819,0.907200
1.022103,0.811992
0.990360,0.853973
0.934202,0.800481
0.972732,0.790634
0.985523,0.760094
0.956570,0.850107
0.911209,0.772322
0.957989,0.786016
0.952845,0.864907
0.879444,0.779709
0.866853,0.803257
0.900964,0.800013
0.865223,0.751169
0.879133,0.743706
0.873174,0.826678
0.895229,0.834400
0.415162,0.707966
0.898763,0.814793
0.897305,0.816263
0.907065,0.787291
0.828961,0.837003
0.897725,0.744392
0.876609,0.806739
0.879834,0.807652
0.870599,0.778647
0.834577,0.862087
0.885259,0.870199
0.853006,0.804919
0.871833,0.764746
0.826981,0.821425
0.825117,0.721437
0.807639,0.760788
0.921667,0.838860
0.849647,0.797769
0.886904,0.747905
0.870391,0.798222
0.885694,0.848337
0.856415,0.773109
0.859322,0.730269
0.880057,0.738548
0.895312,0.684562
0.809245,0.838635
0.831024,0.866187
0.846580,0.783547
0.889167,0.817725
0.837234,0.825356
0.887817,0.851404
0.854807,0.796518
0.848648,0.835980
0.857361,0.815182
0.864643,0.874213
0.808067,0.798930
0.818882,0.870998
0.849103,0.815645
0.890969,0.817627
0.852265,0.871569
0.887158,0.744631
0.819324,0.817648
0.829035,0.810680
0.864794,0.853119
0.807990,0.812911
0.875270,0.783280
0.852634,0.852920
0.872682,0.863511
0.843737,0.771175
0.843655,0.860208
0.873538,0.813487
0.866607,0.904210
0.838555,0.809641
0.862712,0.714059
0.849200,0.738115
0.850371,0.803198
0.851240,0.771981
0.876977,0.781176
0.868670,0.825143
0.847374,0.890112
0.850129,0.806926
0.807237,0.824010
0.872907,0.809634
0.847699,0.820886
0.880821,0.787380
0.836174,0.827057
0.828242,0.827536
0.875106,0.825381
0.867765,0.765068
0.818663,0.887352
0.849343,0.744637
0.821084,0.751304
0.836873,0.801559
0.840802,0.814249
0.834875,0.773781
0.878733,0.848045
0.857863,0.820087
0.832715,0.783880
0.825768,0.885301
0.809694,0.795205
0.793803,0.759634
0.871314,0.813288
0.823177,0.749918
0.853168,0.855827
0.870743,0.779006
0.839768,0.815153
0.868082,0.785245
0.878971,0.808528
0.882476,0.783450
0.848641,0.847601
0.852579,0.806761
0.883383,0.763851
0.812486,0.733905
0.813042,0.845287
0.823270,0.860318
0.835918,0.863283
0.853206,0.751789
0.883690,0.822823
0.860975,0.837971
0.890564,0.812618
0.814251,0.808440
0.824816,0.797792
0.835157,0.812547
0.881233,0.811226
0.876848,0.866152
0.836174,0.843218
0.876947,0.672561
0.814741,0.837822
0.839227,0.827524
0.828532,0.860851
0.812406,0.794286
0.803825,0.819076
0.853334,0.834216
0.821694,0.805072
0.882370,0.793635
0.846219,0.842851
0.842332,0.874509
0.887055,0.839961
0.833858,0.880290
0.872912,0.887868
0.853195,0.808088
0.810617,0.812060
0.836740,0.796675
0.827522,0.772457
0.845353,0.766377
0.881583,0.773276
0.872346,0.774305
0.798785,0.880554
0.851483,0.793857
0.809571,0.857768
0.842911,0.853670
0.864202,0.805571
0.883728,0.794836
0.861197,0.806404
0.845088,0.795441
0.811346,0.817278
0.862053,0.740476
0.874457,0.767147
0.819774,0.805340
0.876561,0.871424
0.807379,0.784149
0.875426,0.658237
0.846122,0.792692
0.836918,0.844208
0.825310,0.777704
0.828590,0.793221
0.870821,0.798265
0.806721,0.822513
0.868294,0.743434
0.858288,0.817343
0.829546,0.824672
0.842143,0.780052
0.819731,0.759600
0.867660,0.803353
0.843517,0.836885
0.830558,0.816735
0.893263,0.794465
0.849747,0.880747
0.861796,0.775700
0.895991,0.753996
0.869754,0.830059
0.883377,0.696878
0.818509,0.791862
0.856315,0.745006
0.839407,0.744886
0.840948,0.772785
0.834987,0.717010
0.801845,0.716147
0.810880,0.789625
0.776321,0.771949
0.777183,0.760597
0.785576,0.702430
0.773351,0.736483
0.412176,0.743877
0.770023,0.754143
0.789849,0.697437
0.861932,0.705926
0.840805,0.688816
0.868189,0.698547
0.781756,0.719251
0.765916,0.731025
0.841352,0.696841
0.784168,0.667322
